"colds" "GPA" "rent"
"1" 2 3.2 560
"2" 0 2.9 590
"3" 1 2.7 800
"4" 0 2.9 460
"5" 0 3.2 430
"6" 3 3.4 840
"7" 1 3 470
"8" 2 3 880
"9" 0 3.2 850
"10" 3 3 440
"11" 2 3 640
"12" 2 3 870
"13" 0 2.9 490
"14" 3 3.2 680
"15" 1 3.2 450
"16" 0 3 540
"17" 3 3.1 810
"18" 1 3.2 820
"19" 1 2.7 410
"20" 2 2.8 710
"21" 0 3 550
"22" 0 3 530
"23" 2 2.9 600
"24" 2 2.8 480
"25" 1 3 420
"26" 2 2.8 830
"27" 1 2.8 540
"28" 0 3 810
"29" 1 3.1 840
"30" 1 3.4 470
"31" 0 3.1 750
"32" 1 3.2 570
"33" 2 3.1 680
"34" 1 2.9 550
"35" 2 3 470
"36" 0 3.1 740
"37" 0 2.7 440
"38" 3 3.1 610
"39" 0 2.8 470
"40" 1 3.5 700
"41" 0 2.8 540
"42" 2 3 640
"43" 1 2.8 500
"44" 1 2.9 810
"45" 1 2.9 430
"46" 2 3.1 600
"47" 0 2.9 570
"48" 2 2.7 880
"49" 0 2.6 590
"50" 1 2.8 820
"51" 2 2.7 540
"52" 1 3 890
"53" 0 2.9 680
"54" 2 2.9 570
"55" 2 2.7 870
"56" 0 3 750
"57" 3 2.7 690
"58" 1 2.9 650
"59" 2 3.2 890
"60" 0 3.2 870
"61" 2 2.8 490
"62" 2 3 710
"63" 2 3 650
"64" 4 3.4 570
"65" 0 3.2 670
"66" 0 2.8 810
"67" 1 3 710
"68" 2 3.1 700
"69" 1 3.1 800
"70" 2 2.9 720
"71" 1 3 400
"72" 0 2.6 540
"73" 2 3.2 770
"74" 1 3 830
"75" 2 3 870
"76" 2 3 830
"77" 1 3 830
"78" 2 3 480
"79" 1 2.9 530
"80" 1 3 460
"81" 2 2.6 460
"82" 1 2.8 690
"83" 1 2.8 610
"84" 1 2.9 530
"85" 3 2.8 830
"86" 1 2.9 570
"87" 2 2.8 610
"88" 2 3.1 870
"89" 1 2.9 840
"90" 2 2.9 810
"91" 1 3.2 570
"92" 0 3 650
"93" 0 2.9 410
"94" 0 2.9 890
"95" 1 3 650
"96" 4 3.3 450
"97" 1 3.3 820
"98" 1 2.9 680
"99" 2 3 440
"100" 1 2.8 870
"101" 0 2.8 700
"102" 2 3 700
"103" 0 3 610
"104" 1 3.3 820
"105" 3 3 430
"106" 3 3 830
"107" 0 3.1 720
"108" 1 3.2 570
"109" 2 3.3 690
"110" 0 2.9 620
"111" 0 2.7 750
"112" 2 3 400
"113" 2 2.7 690
"114" 0 3 640
"115" 0 3 820
"116" 1 2.7 480
"117" 0 3.2 830
"118" 1 2.9 710
"119" 0 2.7 790
"120" 2 3.1 440
"121" 0 2.8 630
"122" 2 2.9 780
"123" 1 2.7 730
"124" 0 3.1 870
"125" 1 3 410
"126" 3 3.2 750
"127" 3 3.1 450
"128" 0 2.9 810
"129" 1 3.4 610
"130" 0 3.1 470
"131" 2 3.1 880
"132" 1 2.6 860
"133" 2 2.8 690
"134" 1 2.8 480
"135" 1 2.8 570
"136" 0 3 800
"137" 1 3.1 740
"138" 1 2.9 720
"139" 0 3.1 780
"140" 0 3.2 680
"141" 2 2.8 630
"142" 2 2.9 680
"143" 1 3.2 890
"144" 1 2.7 730
"145" 1 3.1 600
"146" 1 3.4 650
"147" 2 2.8 530
"148" 2 3.2 540
"149" 0 2.8 870
"150" 1 2.5 770
"151" 2 2.8 680
"152" 0 2.9 580
"153" 0 2.9 520
"154" 0 3.5 740
"155" 2 3.3 810
"156" 0 3.2 440
"157" 0 3.5 810
"158" 2 3.1 460
"159" 1 3 540
"160" 1 3 840
"161" 0 3.1 760
"162" 0 3.1 650
"163" 3 2.6 450
"164" 0 2.7 470
"165" 1 2.5 790
"166" 3 3.2 830
"167" 1 3.3 540
"168" 1 2.8 800
"169" 0 2.8 890
"170" 0 3.2 570
"171" 1 3.3 620
"172" 0 3.4 600
"173" 1 3.1 760
"174" 0 2.5 630
"175" 2 2.9 500
"176" 0 3.1 740
"177" 1 3 500
"178" 1 3.1 780
"179" 1 2.9 720
"180" 1 3.2 660
"181" 3 3.1 890
"182" 4 3.2 820
"183" 2 3 710
"184" 2 2.9 500
"185" 1 3.4 520
"186" 2 2.9 590
"187" 2 3.1 710
"188" 1 3.1 700
"189" 0 2.8 640
"190" 2 2.9 790
"191" 1 3 880
"192" 1 2.9 880
"193" 0 3 650
"194" 1 2.9 720
"195" 2 2.8 570
"196" 1 2.9 490
"197" 1 2.7 610
"198" 0 3.3 760
"199" 1 3.2 700
"200" 1 2.6 740
