"A10" "A50" "A100" "A500" "A5000"
"1" 1 1 0 1 1
"2" 1 0 1 0 0
"3" 0 0 0 0 1
"4" 0 1 1 0 0
"5" 0 1 1 0 1
"6" 0 0 0 1 0
"7" 1 1 1 1 0
"8" 1 0 1 1 1
"9" 1 0 0 1 0
"10" 0 0 0 1 0
"11" 1 0 1 0 0
"12" 1 0 0 0 1
"13" 0 1 0 1 1
"14" 0 0 0 0 0
"15" 0 0 1 0 0
"16" 0 0 0 0 0
"17" 1 1 1 0 0
"18" 1 0 1 1 0
"19" 1 0 0 0 1
"20" 0 0 0 0 0
"21" 1 0 1 1 1
"22" 1 0 1 1 0
"23" 0 0 1 0 1
"24" 0 1 0 1 0
"25" 0 1 0 0 0
"26" 0 1 0 0 0
"27" 1 0 1 1 0
"28" 1 0 1 0 0
"29" 1 1 0 0 0
"30" 0 0 0 0 1
"31" 1 1 0 0 0
"32" 1 0 1 0 1
"33" 0 1 0 1 0
"34" 0 1 0 0 0
"35" 0 1 0 1 0
"36" 0 1 0 1 0
"37" 1 1 0 1 1
"38" 1 1 1 0 0
"39" 1 0 1 0 0
"40" 0 1 1 0 0
"41" 1 0 1 0 0
"42" 1 0 0 1 1
"43" 0 0 0 0 1
"44" 0 1 0 1 1
"45" 0 1 1 0 0
"46" 0 1 0 1 0
"47" 1 1 0 0 0
"48" 1 1 0 0 0
"49" 1 0 1 0 0
"50" 0 0 0 0 1
"51" 1 1 0 0 0
"52" 1 0 0 1 1
"53" 0 0 1 1 1
"54" 0 1 0 1 1
"55" 0 1 1 0 1
"56" 0 0 0 1 0
"57" 1 1 1 0 0
"58" 1 0 0 0 1
"59" 1 0 0 1 1
"60" 0 0 0 0 1
"61" 1 0 0 0 0
"62" 1 0 1 0 1
"63" 0 1 0 0 0
"64" 0 0 0 0 1
"65" 0 0 1 1 0
"66" 0 0 1 1 1
"67" 1 1 0 0 0
"68" 1 0 0 1 1
"69" 1 0 0 0 0
"70" 0 0 0 1 1
"71" 1 0 1 1 0
"72" 1 0 0 0 0
"73" 0 0 1 0 1
"74" 0 1 1 1 1
"75" 0 1 1 1 0
"76" 0 1 0 1 1
"77" 1 0 1 0 0
"78" 1 0 0 1 0
"79" 1 1 0 0 1
"80" 0 0 1 1 0
"81" 1 1 1 0 1
"82" 1 0 1 0 0
"83" 0 1 0 1 0
"84" 0 1 0 0 1
"85" 0 1 0 0 1
"86" 0 1 0 0 0
"87" 1 1 1 1 1
"88" 1 1 0 0 0
"89" 1 0 1 1 1
"90" 0 1 0 0 1
"91" 1 0 1 0 0
"92" 1 0 0 0 1
"93" 0 0 0 1 1
"94" 0 1 0 0 0
"95" 0 1 0 1 1
"96" 0 1 1 0 1
"97" 1 1 0 1 1
"98" 1 1 0 0 0
"99" 1 0 1 0 0
"100" 0 0 1 0 1
"101" 1 1 0 1 1
"102" 1 0 1 1 1
"103" 0 0 0 0 0
"104" 0 1 1 0 0
"105" 0 1 1 0 0
"106" 0 0 0 1 0
"107" 1 1 1 0 0
"108" 1 0 1 0 0
"109" 1 0 0 0 0
"110" 0 0 0 1 0
"111" 1 0 1 0 1
"112" 1 0 0 1 1
"113" 0 1 0 1 0
"114" 0 0 0 0 0
"115" 0 0 1 1 1
"116" 0 0 0 1 0
"117" 1 1 1 1 0
"118" 1 0 1 1 1
"119" 1 0 0 1 0
"120" 0 0 0 0 0
"121" 1 0 1 1 0
"122" 1 0 1 1 0
"123" 0 0 1 0 1
"124" 0 1 0 0 1
"125" 0 1 0 0 0
"126" 0 1 0 0 0
"127" 1 0 1 0 1
"128" 1 0 1 1 1
"129" 1 1 0 1 0
"130" 0 0 0 1 1
"131" 1 1 0 1 1
"132" 1 0 1 0 1
"133" 0 1 0 0 1
"134" 0 1 0 0 0
"135" 0 1 0 1 0
"136" 0 1 0 0 0
"137" 1 1 0 0 0
"138" 1 1 1 0 1
"139" 1 0 1 0 0
"140" 0 1 1 0 0
"141" 1 0 1 1 0
"142" 1 0 0 0 0
"143" 0 0 0 0 0
"144" 0 1 0 0 0
"145" 0 1 1 0 0
"146" 0 1 0 0 0
"147" 1 1 0 0 0
"148" 1 1 0 0 1
"149" 1 0 1 0 1
"150" 0 0 0 0 0
"151" 1 1 0 0 0
"152" 1 0 0 1 0
"153" 0 0 1 1 0
"154" 0 1 0 1 1
"155" 0 1 1 1 1
"156" 0 0 0 0 1
"157" 1 1 1 0 1
"158" 1 0 0 1 0
"159" 1 0 0 1 1
"160" 0 0 0 1 1
"161" 1 0 0 1 1
"162" 1 0 1 1 1
"163" 0 1 0 0 1
"164" 0 0 0 1 0
"165" 0 0 1 0 1
"166" 0 0 1 0 0
"167" 1 1 0 1 0
"168" 1 0 0 1 1
"169" 1 0 0 1 1
"170" 0 0 0 0 1
"171" 1 0 1 0 1
