"colds" "GPA" "rent" "att"
"1" 2 3.2 560 0.26
"2" 0 2.9 590 0.57
"3" 1 2.7 800 0.74
"4" 0 2.9 460 0.77
"5" 0 3.2 430 0.51
"6" 3 3.4 840 0.77
"7" 1 3 470 0.45
"8" 2 3 880 0.53
"9" 0 3.2 850 0.9
"10" 3 3 440 0.43
"11" 2 3 640 0.86
"12" 2 3 870 0.78
"13" 0 2.9 490 0.9
"14" 3 3.2 680 0.72
"15" 1 3.2 450 0.37
"16" 0 3 540 0.77
"17" 3 3.1 810 0.83
"18" 1 3.2 820 0.91
"19" 1 2.7 410 0.9
"20" 2 2.8 710 0.7
"21" 0 3 550 0.54
"22" 0 3 530 0.77
"23" 2 2.9 600 0.9
"24" 2 2.8 480 0.79
"25" 1 3 420 0.57
"26" 2 2.8 830 0.53
"27" 1 2.8 540 0.75
"28" 0 3 810 0.81
"29" 1 3.1 840 0.69
"30" 1 3.4 470 0.68
"31" 0 3.1 750 0.92
"32" 1 3.2 570 0.7
"33" 2 3.1 680 0.38
"34" 1 2.9 550 0.72
"35" 2 3 470 0.64
"36" 0 3.1 740 0.74
"37" 0 2.7 440 0.74
"38" 3 3.1 610 0.63
"39" 0 2.8 470 0.62
"40" 1 3.5 700 0.74
"41" 0 2.8 540 0.73
"42" 2 3 640 0.73
"43" 1 2.8 500 0.35
"44" 1 2.9 810 0.57
"45" 1 2.9 430 0.87
"46" 2 3.1 600 0.94
"47" 0 2.9 570 0.83
"48" 2 2.7 880 0.81
"49" 0 2.6 590 0.53
"50" 1 2.8 820 0.49
"51" 2 2.7 540 0.82
"52" 1 3 890 0.6
"53" 0 2.9 680 0.64
"54" 2 2.9 570 0.78
"55" 2 2.7 870 0.65
"56" 0 3 750 0.62
"57" 3 2.7 690 0.69
"58" 1 2.9 650 0.66
"59" 2 3.2 890 0.97
"60" 0 3.2 870 0.77
"61" 2 2.8 490 0.71
"62" 2 3 710 0.46
"63" 2 3 650 0.94
"64" 4 3.4 570 0.74
"65" 0 3.2 670 0.8
"66" 0 2.8 810 0.77
"67" 1 3 710 0.66
"68" 2 3.1 700 0.5
"69" 1 3.1 800 0.67
"70" 2 2.9 720 0.62
"71" 1 3 400 0.91
"72" 0 2.6 540 0.88
"73" 2 3.2 770 0.57
"74" 1 3 830 0.54
"75" 2 3 870 0.41
"76" 2 3 830 0.72
"77" 1 3 830 0.68
"78" 2 3 480 0.77
"79" 1 2.9 530 0.55
"80" 1 3 460 0.64
"81" 2 2.6 460 0.93
"82" 1 2.8 690 0.67
"83" 1 2.8 610 0.57
"84" 1 2.9 530 0.71
"85" 3 2.8 830 0.74
"86" 1 2.9 570 0.46
"87" 2 2.8 610 0.83
"88" 2 3.1 870 0.94
"89" 1 2.9 840 0.6
"90" 2 2.9 810 0.75
"91" 1 3.2 570 0.38
"92" 0 3 650 0.65
"93" 0 2.9 410 0.58
"94" 0 2.9 890 0.27
"95" 1 3 650 0.44
"96" 4 3.3 450 0.58
"97" 1 3.3 820 0.77
"98" 1 2.9 680 0.58
"99" 2 3 440 0.77
"100" 1 2.8 870 0.8
"101" 0 2.8 700 0.79
"102" 2 3 700 0.78
"103" 0 3 610 0.45
"104" 1 3.3 820 0.8
"105" 3 3 430 0.81
"106" 3 3 830 0.68
"107" 0 3.1 720 0.84
"108" 1 3.2 570 0.44
"109" 2 3.3 690 0.63
"110" 0 2.9 620 0.61
"111" 0 2.7 750 0.3
"112" 2 3 400 0.62
"113" 2 2.7 690 0.89
"114" 0 3 640 0.73
"115" 0 3 820 0.65
"116" 1 2.7 480 0.84
"117" 0 3.2 830 0.74
"118" 1 2.9 710 0.79
"119" 0 2.7 790 0.5
"120" 2 3.1 440 0.71
"121" 0 2.8 630 0.8
"122" 2 2.9 780 0.61
"123" 1 2.7 730 0.91
"124" 0 3.1 870 0.53
"125" 1 3 410 0.63
"126" 3 3.2 750 0.82
"127" 3 3.1 450 0.71
"128" 0 2.9 810 0.56
"129" 1 3.4 610 0.65
"130" 0 3.1 470 0.61
"131" 2 3.1 880 0.59
"132" 1 2.6 860 0.56
"133" 2 2.8 690 0.61
"134" 1 2.8 480 0.71
"135" 1 2.8 570 0.81
"136" 0 3 800 0.46
"137" 1 3.1 740 0.76
"138" 1 2.9 720 0.82
"139" 0 3.1 780 0.79
"140" 0 3.2 680 0.56
"141" 2 2.8 630 0.67
"142" 2 2.9 680 0.52
"143" 1 3.2 890 0.61
"144" 1 2.7 730 0.84
"145" 1 3.1 600 0.6
"146" 1 3.4 650 0.88
"147" 2 2.8 530 0.78
"148" 2 3.2 540 0.63
"149" 0 2.8 870 0.43
"150" 1 2.5 770 0.52
"151" 2 2.8 680 0.5
"152" 0 2.9 580 0.79
"153" 0 2.9 520 0.57
"154" 0 3.5 740 0.72
"155" 2 3.3 810 0.85
"156" 0 3.2 440 0.63
"157" 0 3.5 810 0.61
"158" 2 3.1 460 0.69
"159" 1 3 540 0.58
"160" 1 3 840 0.35
"161" 0 3.1 760 0.52
"162" 0 3.1 650 0.76
"163" 3 2.6 450 0.4
"164" 0 2.7 470 0.76
"165" 1 2.5 790 0.72
"166" 3 3.2 830 0.44
"167" 1 3.3 540 0.67
"168" 1 2.8 800 0.65
"169" 0 2.8 890 0.74
"170" 0 3.2 570 0.5
"171" 1 3.3 620 0.65
"172" 0 3.4 600 0.36
"173" 1 3.1 760 0.73
"174" 0 2.5 630 0.65
"175" 2 2.9 500 0.56
"176" 0 3.1 740 0.52
"177" 1 3 500 0.89
"178" 1 3.1 780 0.43
"179" 1 2.9 720 0.8
"180" 1 3.2 660 0.79
"181" 3 3.1 890 0.81
"182" 4 3.2 820 0.7
"183" 2 3 710 0.7
"184" 2 2.9 500 0.62
"185" 1 3.4 520 0.55
"186" 2 2.9 590 0.82
"187" 2 3.1 710 0.73
"188" 1 3.1 700 0.66
"189" 0 2.8 640 0.58
"190" 2 2.9 790 0.87
"191" 1 3 880 0.62
"192" 1 2.9 880 0.69
"193" 0 3 650 0.72
"194" 1 2.9 720 0.62
"195" 2 2.8 570 0.7
"196" 1 2.9 490 0.9
"197" 1 2.7 610 0.76
"198" 0 3.3 760 0.44
"199" 1 3.2 700 0.73
"200" 1 2.6 740 0.67
